channel,title,processedTitle,titleTypes,duration,videoId
"HOOK","戰鬥民族三餐吃什麼？最悲慘的人吃最奢華的食物領最血汗的薪水！【料理史王#12】｜HOOK ft. 每天都想史","戰鬥民族三餐吃什麼？最悲慘的人吃最奢華的食物領最血汗的薪水！","疑問","24:40","XQG1DQs5ZOw"
"HOOK","去杜拜搭「頭等艙」順便喝醉，體驗被錢砸的感覺【燒錢來吃#4】｜HOOK ft. Surfshark VPN 杜拜特輯#1","去杜拜搭「頭等艙」順便喝醉，體驗被錢砸的感覺","","23:00","Jg17yjYGuIo"
"Rosalina's Kitchen 蘿潔塔的廚房","止咳妙方，免疫力ＵＰ！『超級洋蔥蘋果湯』感冒咳不停的朋友，熱熱喝，快快好！好喝又健康喔！","止咳妙方，免疫力ＵＰ！『超級洋蔥蘋果湯』感冒咳不停的朋友，熱熱喝，快快好！好喝又健康喔！","","3:51","w6l2reDSweA"
"Rosalina's Kitchen 蘿潔塔的廚房","兩種烤地瓜方法！健康減重。按照這樣吃，老公瘦了五公斤！","兩種烤地瓜方法！健康減重。按照這樣吃，老公瘦了五公斤！","數據 項目數 驚嘆","7:54","U2EE5wMJPvs"
"Rosalina's Kitchen 蘿潔塔的廚房","想不到吃什麼？就來簡單做這道『蝦仁豆腐羹燴飯』，保證吃到盤子見底！","想不到吃什麼？就來簡單做這道『蝦仁豆腐羹燴飯』，保證吃到盤子見底！","數據","6:21","Whgpq0bSZWc"
"Rosalina's Kitchen 蘿潔塔的廚房","吃過就回不去普通的醃蘿蔔了！！日式糖醋醃蘿蔔，超開胃！也適合搭配炸豬排、炸雞解膩！","吃過就回不去普通的醃蘿蔔了！！日式糖醋醃蘿蔔，超開胃！也適合搭配炸豬排、炸雞解膩！","驚嘆","8:00","96qz7CQpn7U"
"Rosalina's Kitchen 蘿潔塔的廚房","『簡單高麗菜料理』懶人的最愛～輕鬆無油煙、一鍋到底 高麗菜豬肉冬粉煲！一入口就停不下來的美味！","『簡單高麗菜料理』懶人的最愛～輕鬆無油煙、一鍋到底 高麗菜豬肉冬粉煲！一入口就停不下來的美味！","驚嘆","5:28","wiPMQe-jfrs"
"滴妹","住在阿爾卑斯山上！來歐洲體驗全新的生活 【歐洲奧地利EP1】 ♥ 滴妹","住在阿爾卑斯山上！來歐洲體驗全新的生活","驚嘆","9:03","J5oM2VLHFsE"
"滴妹","想了好幾年終於去做鼻子手術了...人生第一次全身麻醉好緊張！♥ 滴妹","想了好幾年終於去做鼻子手術了...人生第一次全身麻醉好緊張！","驚嘆","19:06","GxR332pHbns"
"滴妹","阿滴竟然同意拍這個影片?! 總消費金額$$扯到爆炸...!! ♥ 滴妹","阿滴竟然同意拍這個影片?! 總消費金額$$扯到爆炸...!!","驚嘆","12:48","g42mlckekPo"
"cheap","平心而論 【為什麼臺灣街景這麼醜?】 到底什麼是「中華民國美學」?","平心而論 【為什麼臺灣街景這麼醜?】 到底什麼是「中華民國美學」?","疑問","28:59","CA-EpOj72d4"
"cheap","交通局不要的文案~ 為什麼台灣人這麼愛騎機車? 【台灣機車史】","交通局不要的文案~ 為什麼台灣人這麼愛騎機車? 【台灣機車史】","疑問","21:30","rifnCyknbuM"
"cheap","騙局? 為什麼小時候說石油快用完了 現在卻越挖越多? 石油是怎麼被人類發現的?【石油的歷史】為什麼石油都在阿拉伯啊??","騙局? 為什麼小時候說石油快用完了 現在卻越挖越多? 石油是怎麼被人類發現的?【石油的歷史】為什麼石油都在阿拉伯啊??","疑問 轉折","18:59","jPqDwsgnTv8"
"cheap","三次單挑全歐洲 三次被打倒 每次都能滿血復活 【為什麼德國這麼強?】","三次單挑全歐洲 三次被打倒 每次都能滿血復活 【為什麼德國這麼強?】","疑問 數據 轉折","13:25","z0aERYmE-gU"
"cheap","歷史上真的有功夫嗎? 為什麼傳統武術無法實戰? 西洋拳法厲害的原因","歷史上真的有功夫嗎? 為什麼傳統武術無法實戰? 西洋拳法厲害的原因","疑問","14:37","twX8EX-scPI"
"好棒Bump","我潛入了股票報牌群組3個月！詐騙手法一次全解碼！【好棒Bump】【詐騙解碼】","我潛入了股票報牌群組3個月！詐騙手法一次全解碼！","數據","22:15","d-rv3Kx3554"
"好棒Bump","我被車手領走30萬！親自抓給你們看！【好棒Bump】","我被車手領走30萬！親自抓給你們看！","數據 驚嘆","16:59","2cbtmF9Db9c"
"好棒Bump","全部清台！這種夾iPhone 的娃娃機… 到底是不是騙人的？！【好棒Bump】","全部清台！這種夾iPhone 的娃娃機… 到底是不是騙人的？！","疑問","16:22","ehB9m_7N8ds"
"好棒Bump","我用數學公式破解賭場！玩21點算牌... 贏走300萬！【好棒Bump】【優勢玩家】","我用數學公式破解賭場！玩21點算牌... 贏走300萬！","數據 驚嘆","20:43","deaAMT211_Q"
"好棒Bump","在104找工作卻被仲介賣到杜拜！被迫成為詐騙集團幫兇！【好棒Bump】【詐騙解碼】","在104找工作卻被仲介賣到杜拜！被迫成為詐騙集團幫兇！","轉折 驚嘆","19:28","zF9qe5IYDH8"
